Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
BTM,Bitcoin Depot Inc.,4.6,USD,10.047846889952151,3032844,1.2135821594166374,295837015.7894737,USD,,-0.3004,USD,66.63705019991116,0,Finance,Strong buy
ICNM,"Icon Media Holdings, Inc.",0.0003,USD,49.99999999999998,1480026,1.2036516849363688,33289.5,USD,,0,USD,100,0,Commercial services,
ALDX,"Aldeyra Therapeutics, Inc.",2.35,USD,10.849056603773583,915705,1.187883884043863,140754633.39622644,USD,,-0.9686,USD,-90.66929133858268,0,Health technology,Strong buy
PLRX,"Pliant Therapeutics, Inc.",1.6,USD,11.111111111111121,1578791,1.1746627345349019,98218045.55555558,USD,,-3.6108,USD,-26.353361094586553,0,Health technology,Neutral
ESPR,"Esperion Therapeutics, Inc.",1.05,USD,14.304376224689754,5764923,1.1679112296194996,208109441.0516003,USD,,-0.7947,USD,20.948970456580135,0,Health technology,Buy
PLUG,"Plug Power, Inc.",0.9108,USD,10.493752274657288,187528556,1.1527016027791641,982156143.6947714,USD,,-2.2712,USD,4.938891679223184,0,Electronic technology,Neutral
CCCC,"C4 Therapeutics, Inc.",1.48,USD,11.278195488721797,1120920,1.1448383053263702,105090493.53383459,USD,,-1.473,USD,37.968499957887644,0,Health technology,Buy
FTRE,Fortrea Holdings Inc.,4.63,USD,12.106537530266344,3040704,1.1442537553879428,419015011.2106538,USD,,-8.5699,USD,-527.1423344310282,0,Commercial services,Neutral
RUN,Sunrun Inc.,8.28,USD,15.966386554621845,33701121,1.1313715180161532,1891867898.7731092,USD,,-12.1439,USD,-82.0620071362178,0,Electronic technology,Buy
GNLN,"Greenlane Holdings, Inc.",0.0068,USD,11.47540983606556,355607943,1.109263412208528,6940260.590163934,USD,,-7.8006,USD,92.53533957764755,0,Distribution services,
ZONE,CleanCore Solutions Inc.,3.59,USD,23.79310344827586,1304127,1.0980939400295329,28561749.209999997,USD,,-0.4502,USD,,0,Distribution services,
